Survey Name (Date),Topic,Sample Size,Question,Response Option,Percentage,,Confidence
,,,,"No, I don’t pay tax yet",17.90%,██,
"Newsletter Poll - Mar 5, 2023",Computer/Laptop Usage,2902,Do you use a computer/laptop?,"No, my smartphone is enough",53.30%,█████,
,,,,Yes,46.70%,█████,
"Newsletter Poll - Mar 12, 2023",SIM Card Usage,3993,Which SIM card do you use?,Jio,46.30%,█████,
,,,,Airtel,35.60%,████,
,,,,Vodafone-Idea (Vi),14.60%,█,
,,,,BSNL/MTNL,3.50%,,
"Newsletter Poll - Mar 19, 2023",Loan Preferences,1724,"When taking a loan, which bank would you opt for?",Govt bank,58.40%,██████,
,,,,Private Indian bank,25.50%,███,
,,,,Doesn’t matter,12.60%,█,
,,,,Private international bank,3.50%,,
"Newsletter Poll - Apr 2, 2023",Living Location,1385,Where do you live?,Tier 1 city,41.10%,████,
,,,,Rural area,20.70%,██,
,,,,Small town,16.00%,██,
,,,,Tier 2 city,13.50%,█,
,,,,Tier 3/4 city,8.70%,█,
"Newsletter Poll - Apr 9, 2023",UPI App Usage,2431,Which UPI app do you use the most?,G-Pay,40.20%,████,
,,,,PhonePe,29.60%,███,
,,,,PayTM,22.30%,██,
,,,,Others,7.80%,█,
"Newsletter Poll - Apr 16, 2023",Smartphone Type,2514,Which kind of smartphone do you use?,"Android (Samsung, Xiaomi, Vivo)",86.70%,█████████,
,,,,iOS (iPhone),13.30%,█,
"Newsletter Poll - Apr 23, 2023",Buying Electronics on EMI,1226,"Have you ever bought electronics (AC, mobiles, TV, etc) on EMI?",No,50.70%,█████,
,,,,Yes,49.30%,█████,
"Newsletter Poll - May 7, 2023",Life Insurance Ownership,1857,Have you bought life insurance in your name?,Yes,67.50%,███████,
,,,,No,32.50%,███,
"Newsletter Poll - May 14, 2023",Smartphone Spending,1978,How much should people spend on smartphones?,Less than 1 month’s income,67.20%,███████,
,,,,1 month’s income,19.60%,██,
,,,,2-4 months’ income,7.20%,█,
,,,,5 or more than 5 months’ income,6.00%,█,
"Newsletter Poll - May 21, 2023",Investment Safety,965,Which investment option is safer according to you?,Equity (direct stocks or mutual funds),53.40%,█████,
,,,,Real estate,46.60%,█████,
"Newsletter Poll - May 28, 2023",Payment Preference,2166,Which do you prefer more?,Debit card,50.60%,█████,
,,,,Credit card,49.40%,█████,
"Newsletter Poll - June 4, 2023",Banking Preference,1020,Which do you prefer more?,Private bank,45.40%,█████,
,,,,Government bank,39.70%,████,
,,,,Doesn't matter,14.90%,█,
"Newsletter Poll - June 11, 2023",Retirement Preference,1620,Where do you want to retire?,Tier 2/3 city,29.30%,███,
,,,,Small town,28.40%,███,
,,,,Tier 1 city,23.40%,██,
,,,,Rural area,18.90%,██,
"Newsletter Poll - June 18, 2023",Current Living Location,805,Where do you currently live?,Tier 1 city,43.90%,████,
,,,,Tier 2/3 city,27.30%,███,
,,,,Small town,14.50%,█,
,,,,Rural area,14.30%,█,
"Newsletter Poll - June 25, 2023",Market Tracking,1882,"Do you check the markets (Sensex, Nifty, etc) every day?",Yes,84.40%,████████,
,,,,No,15.60%,██,
"Newsletter Poll - July 2, 2023",Online Shopping,2351,"Do you shop online for anything (Amazon, Flipkart, etc)?",Yes,88.90%,█████████,
,,,,No,11.10%,█,
"Newsletter Poll - July 9, 2023",First Online Purchase,1225,When did you make your first online purchase?,2020 and after,28.90%,███,
,,,,2015 to 2019,28.20%,███,
,,,,2010 to 2014,27.70%,███,
,,,,In or before 2009,15.20%,██,
"Newsletter Poll - July 16, 2023",Tax Filing,1213,Are you filing your taxes by 31st July?,Already done,56.40%,██████,
,,,,Going to do it,28.80%,███,
,,,,Others,8.40%,█,
,,,,Won't be filing taxes,6.40%,█,
"Newsletter Poll - July 23, 2023",Stock Market Investments,1663,Have you bought any stocks in the last 1 month?,Yes,71.20%,███████,
,,,,No,28.80%,███,
"Newsletter Poll - July 30, 2023",Opinion on Taxes,1586,What do you think about taxes in India?,They are too high,66.00%,███████,
,,,,They are fair,24.30%,██,
,,,,They are too low,9.70%,█,
"Newsletter Poll - Aug 6, 2023",Home Insurance,900,Is your house insured?,No,44.00%,████,
,,,,Yes,35.20%,████,
,,,,Didn't know houses could be insured,20.80%,██,
"Newsletter Poll - Aug 13, 2023",Future Living Plans,1451,"10 years from today, where do you want to live?",India,76.90%,████████,
,,,,Abroad,17.50%,██,
,,,,Not sure,5.70%,█,
"Newsletter Poll - Aug 27, 2023",EV Purchase Intent,1309,Will you buy an electric vehicle (2 or 4-wheeler) in the next 5 years?,Yes,57.50%,██████,
,,,,No,19.60%,██,
,,,,Not sure,17.50%,██,
,,,,Already own EV,5.40%,█,
"Newsletter Poll - Sept 3, 2023",UPI Payment Preference,1809,Which UPI app do you use the most?,Google Pay,38.50%,████,
,,,,PhonePe,31.90%,███,
,,,,Paytm,20.70%,██,
,,,,Others,8.80%,█,
"Newsletter Poll - Sept 10, 2023",Real Estate Plans,1219,Do you plan on buying real estate in the next 5 years?,Yes,74.10%,███████,
,,,,No,25.90%,███,
"Newsletter Poll - Sept 17, 2023",Investing Behavior,1183,When did you start your investing journey?,I didn't decide based on the markets' level,40.00%,████,
,,,,When markets were falling,29.40%,███,
,,,,When markets were climbing,20.60%,██,
,,,,When markets were neutral,10.00%,█,
"Newsletter Poll - Sept 24, 2023",First Salary Range,1622,What was your monthly income when you first started earning?,"Less than Rs 20,000",70.70%,███████,
,,,,"Rs 20,000 to Rs 40,000",16.70%,██,
,,,,"More than Rs 60,000",6.70%,█,
,,,,"Rs 40,001 to Rs 60,000",5.90%,█,
"Newsletter Poll - Oct 1, 2023",Vehicle Cost,912,How much does your car or bike cost?,Less than Rs 1 lakh,28.70%,███,
,,,,Don't own vehicle/Rs 0,24.60%,██,
,,,,More than Rs 8 lakh,18.20%,██,
,,,,Rs 4 lakh to Rs 8 lakh,14.50%,█,
,,,,Rs 2 lakh to Rs 4 lakh,14.00%,█,
"Newsletter Poll - Oct 8, 2023",Perceived Wealth,675,Who do you think is richer?,Me,47.80%,█████,
,,,,My neighbour,26.50%,███,
,,,,We're more or less the same,25.70%,███,
"Newsletter Poll - Oct 15, 2023",Expense Impact,1460,Which affects your expenses more?,Petrol,66.20%,███████,
,,,,LPG,17.80%,██,
,,,,Diesel,16.00%,██,
"Newsletter Poll - Oct 22, 2023",Home Buying Approach,1261,Which is better if buying a house?,EMI + investing - at the same time,62.10%,██████,
,,,,No EMI. Investing till you have enough money,28.50%,███,
,,,,Full focus on paying EMI,9.40%,█,
"Newsletter Poll - Oct 29, 2023",Travel Preference,1467,Which do you use the most to travel?,Personal car/bike,47.00%,█████,
,,,,Train,26.20%,███,
,,,,Bus,21.20%,██,
,,,,Plane,5.60%,█,
"Newsletter Poll - Nov 5, 2023",Health Insurance Preference,1109,Which kind of health insurance company do you prefer?,"Private sector (ICICI Lombard, Tata AIG, etc)",53.60%,█████,
,,,,"Public sector (LIC, Oriental, etc)",46.40%,█████,
"Newsletter Poll - Nov 12, 2023",Payment Preference,1449,Which is better?,Debit card,54.40%,█████,
,,,,Credit card,45.60%,█████,
"Newsletter Poll - Nov 19, 2023",Bank Visits,831,When was the last time you visited a bank branch?,In the last 10 days,31.20%,███,
,,,,More than 1 year,23.20%,██,
,,,,31 days to 90 days,15.40%,██,
,,,,91 days to 1 year,15.20%,██,
,,,,11 days to 30 days,15.00%,██,
"Newsletter Poll - Nov 26, 2023",Housing Preference,1875,Which would you prefer?,Large house in rural area,64.10%,██████,
,,,,Small house in urban area,35.90%,████,
"Newsletter Poll - Dec 3, 2023",Banking Preference,1325,Which do you prefer?,Banking online (using app or website),89.50%,█████████,
,,,,Banking at the branch location,10.50%,█,
"Newsletter Poll - Dec 10, 2023",Laptop/Computer Usage,2605,Do you use a laptop/computer every day?,Yes,59.60%,██████,
,,,,No,28.00%,███,
,,,,Only sometimes,12.40%,█,
"Newsletter Poll - Dec 17, 2023",Medical Insurance,1034,Do you have medical insurance?,Yes,64.10%,██████,
,,,,No,35.90%,████,
"Newsletter Poll - Dec 25, 2023",Home Ownership vs Renting,1610,Which is better?,Living in own home paying EMI,65.20%,███████,
,,,,Living in rented house,34.80%,███,
"Newsletter Poll - Dec 31, 2023",Loan for Electronics,1511,Have you ever taken a loan to buy an electronic device?,No,62.00%,██████,
,,,,Yes,38.00%,████,
